#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -37.5923  -37.5897  -37.5843  -18.4246  -18.4225  -18.4186  -18.2908  -18.2894  -18.2881  -18.2871  -18.2829  -18.2821  -10.5427  -10.4028  -10.4023  -10.0625  -10.0612   -9.8773   -3.7990   -3.2092   -3.2084   -1.7436   -1.7424   -0.9103   -0.9077   -0.7875   -0.7875   -0.7855   -0.7836   -0.5470   -0.4132   -0.4128   -0.4108   -0.4100   -0.2515   -0.2495    2.2337    3.4277    3.4312    3.6185    3.6656    3.6671    3.7108    3.7130    3.7139    3.7148    3.9602    3.9613
  0.0565  -37.5922  -37.5896  -37.5842  -18.4240  -18.4219  -18.4179  -18.2919  -18.2912  -18.2902  -18.2878  -18.2852  -18.2826  -10.5362  -10.3969  -10.3965  -10.0597  -10.0584   -9.8759   -3.7865   -3.2010   -3.2002   -1.7463   -1.7451   -0.9460   -0.9236   -0.8438   -0.8237   -0.7907   -0.7707   -0.5523   -0.4934   -0.4677   -0.4201   -0.3943   -0.3088   -0.2664    2.2493    3.4146    3.4184    3.6231    3.6901    3.6920    3.7024    3.7208    3.7549    3.7793    3.9729    3.9777
  0.1130  -37.5918  -37.5892  -37.5838  -18.4221  -18.4200  -18.4160  -18.2987  -18.2971  -18.2927  -18.2922  -18.2893  -18.2840  -10.5167  -10.3797  -10.3789  -10.0517  -10.0502   -9.8717   -3.7492   -3.1776   -3.1750   -1.7575   -1.7537   -1.0498   -0.9673   -0.9582   -0.8814   -0.8579   -0.7824   -0.6463   -0.5700   -0.5534   -0.5109   -0.4701   -0.4183   -0.3120    2.2905    3.3632    3.3739    3.5677    3.6754    3.7775    3.8020    3.8065    3.8302    3.9148    4.0135    4.0725
  0.1696  -37.5912  -37.5886  -37.5833  -18.4190  -18.4169  -18.4129  -18.3099  -18.3082  -18.3033  -18.2950  -18.2917  -18.2864  -10.4849  -10.3523  -10.3500  -10.0390  -10.0360   -9.8650   -3.6877   -3.1418   -3.1332   -1.7862   -1.7720   -1.2079   -1.1201   -1.0364   -0.9895   -0.9553   -0.8291   -0.8277   -0.7070   -0.6571   -0.6493   -0.6006   -0.4789   -0.3813    2.3478    3.2374    3.3149    3.4762    3.6530    3.7271    3.9465    3.9702    4.0448    4.0728    4.1108    4.3098
  0.2261  -37.5905  -37.5879  -37.5825  -18.4149  -18.4128  -18.4088  -18.3247  -18.3230  -18.3181  -18.2982  -18.2948  -18.2895  -10.4417  -10.3159  -10.3105  -10.0223  -10.0158   -9.8558   -3.6029   -3.0971   -3.0762   -1.8507   -1.8084   -1.4056   -1.3177   -1.1754   -1.1260   -1.0417   -0.9918   -0.9859   -0.9217   -0.8209   -0.7325   -0.6474   -0.5677   -0.4667    2.4131    3.0501    3.2483    3.3696    3.6117    3.6273    4.1104    4.1383    4.1715    4.3077    4.4578    4.6044
  0.2826  -37.5895  -37.5869  -37.5815  -18.4099  -18.4079  -18.4039  -18.3424  -18.3407  -18.3359  -18.3019  -18.2986  -18.2933  -10.3885  -10.2725  -10.2617  -10.0022   -9.9897   -9.8447   -3.4962   -3.0493   -3.0069   -1.9788   -1.8761   -1.6301   -1.5346   -1.3622   -1.2841   -1.2298   -1.1360   -1.1294   -1.0494   -0.9667   -0.8008   -0.7072   -0.6751   -0.5613    2.4772    2.8329    3.1701    3.2707    3.5040    3.5540    4.1865    4.2305    4.3826    4.4841    4.6272    4.7762
  0.3391  -37.5885  -37.5859  -37.5805  -18.4044  -18.4024  -18.3984  -18.3623  -18.3605  -18.3557  -18.3062  -18.3028  -18.2975  -10.3270  -10.2244  -10.2053   -9.9796   -9.9578   -9.8320   -3.3694   -3.0070   -2.9299   -2.1802   -1.9917   -1.8712   -1.7428   -1.5817   -1.5173   -1.3413   -1.2341   -1.2329   -1.1902   -1.0719   -0.8652   -0.7919   -0.7783   -0.6593    2.5243    2.6114    3.0625    3.2055    3.3821    3.4865    3.9682    4.2884    4.4170    4.5928    4.8026    4.9331
  0.3957  -37.5873  -37.5847  -37.5793  -18.3991  -18.3972  -18.3931  -18.3827  -18.3809  -18.3762  -18.3107  -18.3074  -18.3021  -10.2594  -10.1739  -10.1433   -9.9552   -9.9207   -9.8182   -3.2247   -2.9831   -2.8538   -2.4262   -2.1643   -2.1218   -1.9044   -1.8635   -1.6482   -1.4544   -1.3318   -1.3307   -1.2969   -1.1347   -0.9294   -0.9105   -0.8587   -0.7565    2.4020    2.5361    2.9051    3.1954    3.2706    3.4134    3.7549    4.2786    4.3457    4.7173    4.9383    5.1102
  0.4522  -37.5861  -37.5835  -37.5782  -18.4068  -18.4052  -18.4005  -18.3903  -18.3882  -18.3841  -18.3153  -18.3120  -18.3067  -10.1884  -10.1236  -10.0781   -9.9300   -9.8795   -9.8036   -3.0650   -2.9942   -2.8000   -2.6728   -2.3753   -2.3632   -2.1186   -2.0086   -1.7531   -1.5637   -1.4640   -1.4255   -1.3317   -1.1683   -1.0253   -0.9920   -0.9460   -0.8495    2.2161    2.5108    2.6957    3.1554    3.2343    3.3369    3.6258    4.0980    4.3992    4.8162    4.8441    5.2520
  0.5087  -37.5850  -37.5824  -37.5770  -18.4268  -18.4252  -18.4205  -18.3850  -18.3829  -18.3789  -18.3199  -18.3165  -18.3113  -10.1172  -10.0755  -10.0126   -9.9048   -9.8358   -9.7885   -3.0532   -2.9508   -2.8943   -2.7315   -2.6221   -2.5485   -2.3421   -2.0595   -1.8151   -1.6650   -1.5856   -1.5123   -1.3512   -1.1896   -1.1314   -1.0513   -1.0376   -0.9357    2.0620    2.4499    2.4651    3.0379    3.2582    3.2769    3.5774    3.9288    4.4126    4.9002    5.1226    5.2838
  0.5652  -37.5839  -37.5813  -37.5760  -18.4460  -18.4444  -18.4397  -18.3795  -18.3774  -18.3733  -18.3241  -18.3208  -18.3155  -10.0496  -10.0313   -9.9501   -9.8803   -9.7925   -9.7728   -3.1742   -3.1538   -2.8564   -2.7318   -2.7141   -2.7032   -2.5308   -2.0630   -1.8213   -1.7547   -1.6927   -1.5896   -1.3642   -1.2255   -1.2125   -1.1309   -1.1046   -1.0128    1.9462    2.1924    2.4124    2.9345    3.1786    3.2507    3.5778    3.8478    4.4014    4.9530    5.2250    5.2331
  0.6218  -37.5830  -37.5804  -37.5750  -18.4630  -18.4613  -18.4567  -18.3745  -18.3724  -18.3683  -18.3278  -18.3245  -18.3192   -9.9922   -9.9901   -9.8957   -9.8558   -9.7560   -9.7527   -3.3704   -3.2708   -3.0591   -2.8262   -2.7600   -2.7041   -2.5201   -2.0334   -1.8303   -1.7833   -1.7773   -1.6554   -1.3758   -1.3053   -1.2472   -1.2229   -1.1498   -1.0793    1.8735    1.9455    2.3564    2.8521    3.0996    3.1379    3.6023    3.8774    4.3724    4.9976    5.3323    5.3473
  0.6783  -37.5822  -37.5796  -37.5742  -18.4770  -18.4753  -18.4707  -18.3703  -18.3682  -18.3641  -18.3309  -18.3275  -18.3223   -9.9582   -9.9440   -9.8585   -9.8262   -9.7373   -9.7200   -3.5302   -3.3779   -3.2300   -2.9198   -2.8301   -2.8019   -2.3430   -1.9873   -1.8899   -1.8560   -1.7081   -1.7038   -1.3886   -1.3690   -1.3103   -1.2986   -1.1852   -1.1340    1.7283    1.8463    2.2907    2.7909    3.0071    3.0244    3.6356    3.9562    4.3326    5.0092    5.2703    5.4354
  0.7348  -37.5816  -37.5790  -37.5737  -18.4874  -18.4857  -18.4811  -18.3672  -18.3651  -18.3610  -18.3332  -18.3298  -18.3246   -9.9309   -9.9139   -9.8396   -9.7942   -9.7173   -9.6972   -3.6480   -3.4574   -3.3625   -2.9842   -2.9263   -2.8421   -2.1746   -1.9408   -1.9319   -1.9099   -1.7465   -1.6232   -1.4153   -1.4052   -1.3874   -1.3644   -1.2092   -1.1758    1.5574    1.8633    2.2072    2.7491    2.9116    2.9566    3.6672    4.0409    4.2872    5.0270    5.1825    5.3939
